"prompt","modality","type","condition"
"Preguntaronche si queres peras ou mandarinas. Ti respondes que mandarinas.","declarative","broad-focus","declarative_broad-focus"
"Mira o debuxo e di o que fa a rapaza.","declarative","broad-focus","declarative_broad-focus"
"Mira o debuxo e di o que ves.","declarative","broad-focus","declarative_broad-focus"
"Di os dias da sema.","declarative","enumeration","declarative_enumeration"
"Fai unha lista das frutas que mais che gostan.","declarative","enumeration","declarative_enumeration"
"Entras nunha fruteria e a fruteira e un pouco sorda.","declarative","contrastive-focus","declarative_contrastive-focus"
"Entras nunha panaderia e notas un cheiro a pan moi bo. Dillo a panadeira.","declarative","exclamative","declarative_exclamative"
"Una amiga e ti estades falando duns amigos que se van vivir o extranxeiro. Ti estas segura que van ir a Lima, pero a tua amiga pensa, tamen bastante segura, que van ir a Bogotá. Dille, seguro, que non, que van ir a Lima.","declarative","contradiction","declarative_contradiction"
"Encargaron-che comprar un agasallo para alguen que no coñeces moito e da-che un poco de apuro non compra-lo ben. Dille a persoa que cho encargou que se cadra non lle gosta o agasallo que lle comprastes.","declarative","uncertainty","declarative_uncertainty"
"Estas con unha amiga e contas-lle que Maria, unha amiga das duas, esta embarazada. Ela pregunta-che que de quen esta embarazada e a ti extraña-che moito que non o sepa porque o mundo sabe que e de Guillermo, o mozo de toda a vida. ¿Qué lle dis?","declarative","statement-of-the-obvious","declarative_statement-of-the-obvious"
"Entras nunha tenda e preguntas-lle o tendeiro si ten marmelada.","absolute-interrogative","information-seeking","absolute-interrogative_information-seeking"
"De postre tes melon e xeado. Pregunta-lle os invitados si queren melon o xeado.","absolute-interrogative","disjunctive","absolute-interrogative_disjunctive"
"De postre tes varias cosas. Pregunta-lle os invitados si queren mandarinas, peras, sandia o xeado.","absolute-interrogative","enumeration","absolute-interrogative_enumeration"
"Sabes que fora fai moito frio. Entra alguen ben abrigado e preguntas-lle si ten frio.","absolute-interrogative","confirmation-seeking","absolute-interrogative_confirmation-seeking"
"Xaime dixo que viria a comer. Pregunta-llo para confirmalo.","absolute-interrogative","confirmation-seeking","absolute-interrogative_confirmation-seeking"
"Os teus netos montan moito barullo e non che deixan oir a television. Preguntas-lle si queren calar.","absolute-interrogative","imperative","absolute-interrogative_imperative"
"Preguntas-lle os teus sobriños si queren caramelos.","absolute-interrogative","imperative","absolute-interrogative_imperative"
"Pregunta qué hora é.","wh-interrogative","information-seeking","wh-interrogative_information-seeking"
"Tes que viaxar a Paris e queres comprar un agasallo para alguen que non coñeces e ca que queres quedar ben. Queres que un amigo teu che aconselle e preguntas-lle qué lle traería.","wh-interrogative","information-seeking","wh-interrogative_information-seeking"
"Ves que Maria marcha. Pregunta-lle adónde e cando volverá.","wh-interrogative","information-seeking","wh-interrogative_information-seeking"
"Mandas-lle o teu fillo que arregle a casa e non estas segura de que o faga porque non é a primeira vez que llo mandas. Pregunta-lle, medio enfadada, cando o vai a fazer.","wh-interrogative","imperative","wh-interrogative_imperative"
"Tes ganas de que uns amigos veñan comer a tua casa. Medio rogando, porque xa che dixeron que no poden vir, preguntas-lle por qué non veñen.","wh-interrogative","imperative","wh-interrogative_imperative"
"Din-che que hora é, pero non o entendes de todo. Pensas que che dixeron que son as nove. Pregunta-lle se che dixeron as nove.","echo-interrogative","absolute","echo-interrogative_absolute"
"Preguntan-che onde vas, pero non sabes si entendestes ben. Preguntas-lle si é esto o que che preguntaron.","echo-interrogative","wh","echo-interrogative_wh"
"Preguntan-che por donde viñastes, pero ti non sabes si che preguntan eso ou si che preguntan por donde entrastes. Pregunta-lle si preguntaron unha cosa o a outra.","echo-interrogative","disjunctive","echo-interrogative_disjunctive"
"Din-che que un compañeiro teu, Mario, presenta-se para alcalde. Non o cres e volves-llo preguntar.","absolute","counterexpectational","absolute_counterexpectational"
"A tua veciña conta-che que foi comer a un restaurante e pideu coello con cogumelos. Ela diche que lle deron lebre en vez de coello. Non llo cres. Pregunta-lle que le deron (moi abraiada).","wh-interrogative","counterexpectational","wh-interrogative_counterexpectational"
"Estas no parque ca neta, Maria, e escapache. Dille que volva e non marche tan lonxe de ti.","imperative","command","imperative_command"
"Ques ir o cine con amigo. Diche que ten traballo, mais ti sabes que o pode deixa-lo traballo. ¿Cómo farías pa convence-lo?","imperative","request","imperative_request"
"Entras na casa duna amiga tua, Marina, mais o entrar no a ves. Chama por ela.","vocative","neutral","vocative_neutral"
"Pasan dez segundos e non sale ninguén. Volve a chama-la.","vocative","insistent","vocative_insistent"
